timestamp,event_id,event_name,category,severity,username,src_ip,src_port,dst_ip,dst_port,nas_ip,mac_address,hostname,os_type,device_type,identity_group,auth_protocol,failure_reason,risk_score,src_country,session_id,framed_ip,policy_set,auth_rule,posture_status,endpoint_profile,vlan_assignment,nas_port_type,nas_port_id,audit_session_id
2026-06-29T06:00:00.000Z,ISE-5200001,5200 Authentication succeeded,Authentication,notice,jdavis@corp.local,10.10.10.21,49202,10.10.80.1,1812,10.10.80.1,AA:BB:CC:10:21:01,ws-finance-21,Windows 11,Workstation,Finance,EAP-TLS,,7,US,ISE-SES-0001,10.10.10.21,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,10,Ethernet,GigabitEthernet1/0/1,0a0a001599589771
2026-06-29T06:04:00.000Z,ISE-5200002,5200 Authentication succeeded,Authentication,notice,mchen@corp.local,10.10.10.22,49203,10.10.80.1,1812,10.10.80.1,AA:BB:CC:10:22:01,ws-finance-22,Windows 11,Workstation,Finance,EAP-TLS,,8,US,ISE-SES-0002,10.10.10.22,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,10,Ethernet,GigabitEthernet1/0/2,0a0a001699589771
2026-06-29T06:08:00.000Z,ISE-5200003,5200 Authentication succeeded,Authentication,notice,tpatel@corp.local,10.10.10.23,49204,10.10.80.1,1812,10.10.80.1,AA:BB:CC:10:23:01,ws-finance-23,Windows 10,Workstation,Finance,EAP-TLS,,12,US,ISE-SES-0003,10.10.10.23,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,10,Ethernet,GigabitEthernet1/0/3,0a0a001799589771
2026-06-29T06:12:00.000Z,ISE-5200004,5200 Authentication succeeded,Authentication,notice,kreyes@corp.local,10.10.10.24,49205,10.10.80.2,1812,10.10.80.2,AA:BB:CC:10:24:01,ws-finance-24,Windows 11,Workstation,Finance,EAP-TLS,,9,US,ISE-SES-0004,10.10.10.24,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,10,Ethernet,GigabitEthernet1/0/4,0a0a001899589771
2026-06-29T06:16:00.000Z,ISE-5200005,5200 Authentication succeeded,Authentication,notice,lwang@corp.local,10.10.10.25,49206,10.10.80.2,1812,10.10.80.2,AA:BB:CC:10:25:01,ws-finance-25,Windows 11,Workstation,Finance,EAP-TLS,,11,US,ISE-SES-0005,10.10.10.25,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,10,Ethernet,GigabitEthernet1/0/5,0a0a001999589771
2026-06-29T06:20:00.000Z,ISE-5200006,5200 Authentication succeeded,Authentication,notice,scode@corp.local,10.10.11.31,49207,10.10.80.1,1812,10.10.80.1,AA:BB:CC:11:31:01,ws-hr-31,Windows 11,Workstation,HR,EAP-TLS,,9,US,ISE-SES-0006,10.10.11.31,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,11,Ethernet,GigabitEthernet2/0/1,0a0a001f99589771
2026-06-29T06:24:00.000Z,ISE-5200007,5200 Authentication succeeded,Authentication,notice,pramos@corp.local,10.10.11.32,49208,10.10.80.1,1812,10.10.80.1,AA:BB:CC:11:32:01,ws-hr-32,Windows 10,Workstation,HR,EAP-TLS,,10,US,ISE-SES-0007,10.10.11.32,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,11,Ethernet,GigabitEthernet2/0/2,0a0a002099589771
2026-06-29T06:28:00.000Z,ISE-5200008,5200 Authentication succeeded,Authentication,notice,nkirk@corp.local,10.10.11.33,49209,10.10.80.2,1812,10.10.80.2,AA:BB:CC:11:33:01,ws-hr-33,Windows 11,Workstation,HR,EAP-TLS,,8,US,ISE-SES-0008,10.10.11.33,Corp-Dot1x,Allow-All-Corp,compliant,Windows-Workstation,11,Ethernet,GigabitEthernet2/0/3,0a0a002199589771
2026-06-29T06:32:00.000Z,ISE-5200009,5200 Authentication succeeded,Authentication,notice,admin-jkim@corp.local,10.10.12.41,49210,10.10.80.1,1812,10.10.80.1,AA:BB:CC:12:41:01,ws-it-41,Windows 11,Workstation,IT,EAP-TLS,,14,US,ISE-SES-0009,10.10.12.41,Corp-Dot1x,Allow-All-Corp-Admin,compliant,Windows-Workstation,12,Ethernet,GigabitEthernet3/0/1,0a0a002999589771
2026-06-29T06:36:00.000Z,ISE-5200010,5200 Authentication succeeded,Authentication,notice,admin-rwilson@corp.local,10.10.12.42,49211,10.10.80.2,1812,10.10.80.2,AA:BB:CC:12:42:01,ws-it-42,Windows 11,Workstation,IT,EAP-TLS,,13,US,ISE-SES-0010,10.10.12.42,Corp-Dot1x,Allow-All-Corp-Admin,compliant,Windows-Workstation,12,Ethernet,GigabitEthernet3/0/2,0a0a002a99589771
2026-06-29T06:40:00.000Z,ISE-5200011,5200 Authentication succeeded,Authentication,notice,ceo@corp.local,10.10.13.51,49212,10.10.80.1,1812,10.10.80.1,AA:BB:CC:13:51:01,ws-exec-51,macOS 14,Workstation,Executive,EAP-TLS,,6,US,ISE-SES-0011,10.10.13.51,Corp-Dot1x,Allow-Exec,compliant,MacOS-Workstation,13,Ethernet,GigabitEthernet4/0/1,0a0a003399589771
